symbol,log2FC,p_value_neg,p_value_pos,p_value_twosided
UBE2D4,-3.591890898,0.000223748,0.999996543,0.002028917
MCMBP,-3.592005512,0.000227314,0.999996032,0.002059708
PRAMEF2,-3.592078536,0.000224892,0.999996367,0.002038797
RICTOR,-3.592113751,0.001030462,0.999936420,0.005688832
ASB4,-3.592176310,0.000228580,0.999995866,0.002070633
DUSP1,-3.592328123,0.000224802,0.999996385,0.002038020
AP1G2,-3.592391524,0.000230406,0.999995566,0.002086388
EFS,-3.592399304,0.000223945,0.999996498,0.002030618
RNF14,-3.592649475,0.000229244,0.999995734,0.002076363
PADI6,-3.592674201,0.000225189,0.999996313,0.002041364
HAP1,-3.592692989,0.000225932,0.999996219,0.002047784
E2F7,-3.592786781,0.001603436,0.981653601,0.009461048
SOD3,-3.592904244,0.000232038,0.999995257,0.002100466
KRTAP10-4,-3.592928906,0.000224953,0.999996338,0.002039330
GJB2,-3.592984010,0.000227847,0.999995896,0.002064314
OR2Z1,-3.593039153,0.000783506,0.999808989,0.006644472
MICAL1,-3.593051191,0.000225393,0.999996280,0.002043131
SPG11,-3.593096971,0.000223654,0.999996517,0.002028107
EZR,-3.593160863,0.000226176,0.999996163,0.002049889
KLK12,-3.593229111,0.000223708,0.999996504,0.002028570
ACOX1,-3.593239346,0.000226215,0.999996146,0.002050226
SUB1,-3.593290568,0.000226975,0.999996028,0.002056785
UPK2,-3.593293749,0.000224320,0.999996414,0.002033858
CDC42SE2,-3.593533153,0.000231511,0.999995390,0.002095919
TDRD10,-3.593536341,0.000226179,0.999996152,0.002049914
HNF4A,-3.593566364,0.000224342,0.999996409,0.002034047
COL3A1,-3.593742904,0.000227969,0.999995900,0.002065365
RMND1,-3.593888096,0.000224437,0.999996378,0.002034869
SLC35G3,-3.594021756,0.000224035,0.999996433,0.002031398
TBP,-3.594036022,0.000222990,0.999996578,0.002022368
GPR135,-3.594091838,0.000223823,0.999996459,0.002029568
OSBPL2,-3.594180695,0.000223743,0.999996466,0.002028878
ZNF862,-3.594265223,0.000225202,0.999996256,0.002041479
PSG2,-3.594372132,0.000230861,0.999995386,0.002090316
CHRNB4,-3.594526183,0.000232047,0.999995238,0.002100537
TTF2,-3.594560313,0.000228361,0.999995706,0.002068745
NKAPL,-3.594562268,0.000226767,0.999996043,0.002054990
HIC1,-3.594678273,0.000229569,0.999995596,0.002079170
IMP3,-3.594705861,0.000223374,0.999996505,0.002025688
TTC27,-3.594801966,0.000223681,0.999996454,0.002028343
ZNF799,-3.594806478,0.000234610,0.999994793,0.002122630
ALDH3B1,-3.594933529,0.000224378,0.999996352,0.002034364
OCLN,-3.595027562,0.000228401,0.999995782,0.002069095
OR5AR1,-3.595094381,0.000222938,0.999996549,0.002021920
BOLL,-3.595215610,0.000223187,0.999996513,0.002024072
MLST8,-3.595259864,0.000228310,0.999995780,0.002068312
GNB2L1,-3.595466337,0.000223582,0.999996446,0.002027486
SLC22A23,-3.595491567,0.000224411,0.999996333,0.002034645
PSME3,-3.595540749,0.000228705,0.999995665,0.002071714
LY6G6F,-3.595644273,0.000222744,0.999996559,0.002020248
CEACAM5,-3.595704771,0.000235194,0.999994581,0.002127659
CPSF6,-3.595746095,0.000231496,0.999995292,0.002095786
CCL24,-3.595877732,0.000224644,0.999996289,0.002036661
TAF1B,-3.595915075,0.000225603,0.999996156,0.002044938
FAM155A,-3.595982421,0.000246241,0.999993247,0.002222701
FAM90A1,-3.596126337,0.000224591,0.999996277,0.002036201
RAD9A,-3.596249455,0.000224273,0.999996325,0.002033455
ELF5,-3.596299085,0.000225004,0.999996230,0.002039769
MOB3A,-3.596814680,0.000224385,0.999996273,0.002034419
CFAP45,-3.596967636,0.000222988,0.999996481,0.002022353
LIPF,-3.597079662,0.000223824,0.999996357,0.002029576
MMP7,-3.597237464,0.000226273,0.999995985,0.002050728
UNK,-3.597382297,0.000225604,0.999996094,0.002044947
FAM65A,-3.597462180,0.000223108,0.999996448,0.002023392
EPGN,-3.597547472,0.000221818,0.999996626,0.002012246
NKTR,-3.597667175,0.000222079,0.999996584,0.002014501
TMED10,-3.597675732,0.000226252,0.999995975,0.002050543
CNNM1,-3.597682375,0.000224671,0.999996220,0.002036895
PDE3B,-3.597723509,0.000287770,0.999994211,0.002577876
ZNF735,-3.597754050,0.000223920,0.999996320,0.002030401
FOXP4,-3.597911438,0.001254356,0.952550592,0.005005723
SEMA4B,-3.597924497,0.000225442,0.999996109,0.002043547
MARK1,-3.597936104,0.001716529,0.965525099,0.007863658
GDF1,-3.598061472,0.000235937,0.999994505,0.002134064
DOCK7,-3.598087083,0.000228690,0.999995590,0.002071585
RNF217,-3.598251860,0.000224302,0.999996242,0.002033702
FOXK2,-3.598373504,0.000230898,0.999995289,0.002090630
C10orf142,-3.598550264,0.000223358,0.999996383,0.002025547
PWWP2A,-3.598665089,0.000225377,0.999996083,0.002042993
COLEC10,-3.598752904,0.000223879,0.999996298,0.002030051
AQP9,-3.598966484,0.000224519,0.999996192,0.002035582
S100A12,-3.599313696,0.000225779,0.999995999,0.002046458
FOXN2,-3.599381144,0.001022606,0.999937370,0.005647159
GRXCR1,-3.599412936,0.000224697,0.999996145,0.002037117
GPC2,-3.599423210,0.000229219,0.999995407,0.002076154
PCDHGB1,-3.599458820,0.000223277,0.999996347,0.002024850
OR10Z1,-3.599551143,0.000222228,0.999996502,0.002015782
SUN5,-3.599556454,0.000224972,0.999996079,0.002039494
RBM14,-3.599613999,0.000222559,0.999996446,0.002018645
SORCS3,-3.599655038,0.000222258,0.999996498,0.002016041
ASXL1,-3.599789850,0.000223939,0.999996262,0.002030568
NUMBL,-3.599808557,0.000226961,0.999995811,0.002056663
CNIH1,-3.599917552,0.000227826,0.999995647,0.002064132
KIAA1671,-3.600016157,0.000221521,0.999996587,0.002009675
GSDMA,-3.600017948,0.000255563,0.999990501,0.002302712
RIMBP3C,-3.600225710,0.000224481,0.999996165,0.002035253
PRDM16,-3.600300248,0.000227034,0.999995737,0.002057299
DDX27,-3.600337533,0.000223828,0.999996246,0.002029613
TSEN2,-3.600343599,0.001509596,0.968175256,0.007167472
WDR62,-3.600518573,0.000222282,0.999996462,0.002016254
RAB10,-3.600592558,0.000221759,0.999996534,0.002011729
LGALS3,-3.600592998,0.000221615,0.999996555,0.002010485
KLHL11,-3.600645169,0.000229089,0.999995492,0.002075025
DUSP27,-3.600671502,0.000221982,0.999996497,0.002013659
SEC61A2,-3.600755721,0.000228175,0.999995566,0.002067140
MALSU1,-3.600780579,0.000223511,0.999996273,0.002026868
TOR1AIP2,-3.600856317,0.000223300,0.999996315,0.002025048
EPAS1,-3.601042825,0.000251003,0.999991239,0.002263592
OR4Q3,-3.601124818,0.000221371,0.999996570,0.002008381
T,-3.601128772,0.000229252,0.999995356,0.002076435
IFT172,-3.601283588,0.000223509,0.999996258,0.002026857
RAB25,-3.601388680,0.000226416,0.999995816,0.002051957
COPRS,-3.601685853,0.000226933,0.999995713,0.002056421
BROX,-3.601731668,0.000221008,0.999996601,0.002005241
FANCA,-3.601752042,0.000280671,0.999983470,0.002517387
MTMR9,-3.601861703,0.000221451,0.999996538,0.002009074
FAM216A,-3.601876182,0.000224633,0.999996066,0.002036563
TMEM120B,-3.601909454,0.000222089,0.999996444,0.002014580
LCE1C,-3.602008372,0.000354764,0.999986601,0.003144572
KRT6B,-3.602085242,0.000257855,0.999994890,0.002322355
ACAA1,-3.602095297,0.000223998,0.999996177,0.002031077
OPA3,-3.602272001,0.000220750,0.999996620,0.002003006
ALDH9A1,-3.602277461,0.000220811,0.999996611,0.002003540
DHX36,-3.602352332,0.000220448,0.999996659,0.002000402
SLC11A1,-3.602355950,0.000221769,0.999996473,0.002011819
TSC2,-3.602372281,0.000237186,0.999993931,0.002144814
HCN4,-3.602389103,0.000223902,0.999996162,0.002030250
MDH1,-3.602474671,0.000224522,0.999996065,0.002035609
ZNF577,-3.602526781,0.000224313,0.999996078,0.002033803
CD79B,-3.602545799,0.000222488,0.999996352,0.002018029
C19orf43,-3.602569192,0.000221165,0.999996553,0.002006595
GPRC5B,-3.602706016,0.001497556,0.957663108,0.006278423
SUMF2,-3.602723506,0.000221063,0.999996351,0.002005715
GJA8,-3.602733768,0.000221761,0.999996467,0.002011746
MRTO4,-3.602740349,0.000230677,0.999995178,0.002088725
COL6A2,-3.602903479,0.000242231,0.999992991,0.002188235
ALG14,-3.602965267,0.000227723,0.999995611,0.002063246
STEAP1B,-3.603054683,0.000243501,0.999992880,0.002199148
MYH13,-3.603154519,0.000226245,0.999995772,0.002050487
HSPA2,-3.603244638,0.000221338,0.999996509,0.002008091
LMAN2L,-3.603247490,0.000221433,0.999996490,0.002008916
HADHA,-3.603451721,0.000223506,0.999996195,0.002026826
HESX1,-3.603464546,0.000222963,0.999996279,0.002022134
LARP6,-3.603486683,0.000223754,0.999996124,0.002028970
TMED2,-3.603717542,0.000224233,0.999996070,0.002033111
ZGRF1,-3.603808454,0.000220550,0.999996598,0.002001281
FGF3,-3.603814547,0.000234860,0.999994450,0.002124784
FZD3,-3.603911582,0.000227295,0.999995620,0.002059549
LRRCC1,-3.604167849,0.000220983,0.999996528,0.002005027
B4GALNT2,-3.604277257,0.000222098,0.999996354,0.002014660
